Adjazenz,邻接关系,"Die Adjazenz beschreibt, welche Knoten in einem Graphen direkt miteinander verbunden sind.（邻接关系描述图中哪些节点彼此直接相连。）"
Adjazenzliste,邻接表,Eine Adjazenzliste speichert zu jedem Knoten die unmittelbar erreichbaren Nachbarn.（邻接表为每个节点保存可直接到达的邻居。）
Adjazenzmatrix,邻接矩阵,"In einer Adjazenzmatrix zeigt ein Eintrag an, ob zwischen zwei Knoten eine Kante existiert.（邻接矩阵中的元素表示两个节点之间是否存在边。）"
Artikulationspunkt,割点,"Ein Artikulationspunkt ist ein Knoten, dessen Entfernung den Graphen in mehrere Komponenten zerlegt.（割点是删除后会把图分成多个连通分量的节点。）"
augmentierender Pfad,增广路径,Ein augmentierender Pfad erhöht in einem Flussnetzwerk den bisher gefundenen Fluss.（增广路径可以提高流网络中当前已找到的流量。）
Ausgangsgrad,出度,Der Ausgangsgrad zählt bei gerichteten Graphen die aus einem Knoten herausführenden Kanten.（出度统计有向图中从某个节点出发的边数。）
Baum,树,Ein Baum ist ein zusammenhängender Graph ohne Zyklen.（树是无环且连通的图。）
Betweenness-Zentralität,介数中心性,"Die Betweenness-Zentralität misst, wie oft ein Knoten auf kürzesten Pfaden zwischen anderen Knoten liegt.（介数中心性衡量一个节点出现在其他节点最短路径上的频率。）"
bipartiter Graph,二分图,"In einem bipartiten Graphen lassen sich die Knoten in zwei disjunkte Mengen aufteilen, sodass Kanten nur zwischen den Mengen verlaufen.（二分图的节点可分成两个不相交集合，边只连接两个集合之间的节点。）"
Brücke,桥/割边,"Eine Brücke ist eine Kante, deren Entfernung die Anzahl der Zusammenhangskomponenten erhöht.（桥是删除后会增加连通分量数量的边。）"
Clique,团,"Eine Clique ist eine Knotenmenge, in der jedes Knotenpaar durch eine Kante verbunden ist.（团是任意两个节点都相连的节点集合。）"
Closeness-Zentralität,接近中心性,"Die Closeness-Zentralität bewertet, wie nah ein Knoten im Durchschnitt an allen anderen Knoten liegt.（接近中心性评价一个节点平均距离其他节点有多近。）"
Clusterkoeffizient,聚类系数,"Der Clusterkoeffizient gibt an, wie stark die Nachbarn eines Knotens untereinander verbunden sind.（聚类系数表示某节点的邻居之间连接得有多紧密。）"
Netzwerkdichte,网络密度,Die Netzwerkdichte vergleicht die vorhandenen Kanten mit der maximal möglichen Anzahl von Kanten.（网络密度把实际存在的边数与最大可能边数进行比较。）
Digraph,有向图,"Ein Digraph modelliert Beziehungen, bei denen die Richtung der Verbindung eine Rolle spielt.（有向图用于建模连接方向很重要的关系。）"
Distanz,图距离,Die Distanz zwischen zwei Knoten ist meist die Länge eines kürzesten Pfades.（两个节点之间的图距离通常是最短路径的长度。）
Durchsatz,吞吐量,"Der Durchsatz beschreibt, welche Menge pro Zeiteinheit durch ein Netzwerk transportiert werden kann.（吞吐量描述单位时间内网络可传输的数量。）"
Eingangsgrad,入度,Der Eingangsgrad zählt bei gerichteten Graphen die in einen Knoten hineinführenden Kanten.（入度统计有向图中指向某个节点的边数。）
Einbettung,嵌入,Eine planare Einbettung zeichnet einen Graphen ohne Kantenkreuzungen in die Ebene.（平面嵌入是在平面中无边交叉地绘制图。）
Engpass,瓶颈,Ein Engpass begrenzt den maximal möglichen Durchsatz eines Netzwerks.（瓶颈限制网络可达到的最大吞吐量。）
Erreichbarkeit,可达性,"Erreichbarkeit bedeutet, dass von einem Startknoten aus ein Zielknoten über Kanten erreicht werden kann.（可达性表示从起点节点可沿边到达目标节点。）"
Färbung,图着色,"Bei der Färbung werden Knoten so markiert, dass benachbarte Knoten unterschiedliche Farben erhalten.（图着色要求相邻节点获得不同颜色。）"
Fluss,流,Ein Fluss ordnet jeder Kante eine transportierte Menge zu und respektiert Kapazitätsgrenzen.（流为每条边分配传输量并遵守容量限制。）
Flusserhaltung,流守恒,"Die Flusserhaltung verlangt, dass an inneren Knoten genauso viel Fluss eintritt wie austritt.（流守恒要求中间节点的流入量等于流出量。）"
Flussnetzwerk,流网络,"Ein Flussnetzwerk besteht aus gerichteten Kanten mit Kapazitäten, einer Quelle und einer Senke.（流网络由带容量的有向边、源点和汇点组成。）"
